,Words,ID
0,<pad>,0
1,<spc>,1
2,<str>,2
3,hate,3
4,the,4
5,sin,5
6,love,6
7,sinner,7
8,<end>,8
9,one,9
10,heart,10
11,destiny,11
12,happiness,12
13,is,13
14,only,14
15,real,15
16,when,16
17,shared,17
18,who,18
19,being,19
20,loved,20
21,poor,21
22,after,22
23,all,23
24,this,24
25,time,25
26,always,26
27,lovers,27
28,alone,28
29,wear,29
30,sunlight,30
31,you,31
32,are,32
33,my,33
34,life,34
35,now,35
36,why,36
37,by,37
38,absence,38
39,choose,39
40,your,40
41,choice,41
42,a,42
43,serious,43
44,mental,44
45,disease,45
46,wins,46
47,work,47
48,without,48
49,slavery,49
50,made,50
51,me,51
52,feel,52
53,alive,53
54,again,54
55,what,55
56,i,56
57,cannot,57
58,overlook,58
59,sweets,59
60,to,60
61,sweet,61
62,know,62
63,that,63
64,truly,64
65,timeless,65
66,we,66
67,golden,67
68,inside,68
69,makes,69
70,us,70
71,such,71
72,fools,72
73,will,73
74,never,74
75,regret,75
76,physical,76
77,violence,77
78,living,78
79,simply,79
80,loving,80
81,simple,81
82,those,82
83,hearts,83
84,live,84
85,wounded,85
86,as,86
87,thou,87
88,soul,88
89,meets,89
90,on,90
91,lips,91
92,drama,92
93,of,93
94,contradictions,94
95,until,95
96,night,96
97,collapses,97
98,self,98
99,talk,99
100,reflects,100
101,innermost,101
102,feelings,102
103,like,103
104,sunshine,104
105,rain,105
106,sometimes,106
107,loneliness,107
108,loudest,108
109,noise,109
110,relationship,110
111,two,111
112,way,112
113,keeping,113
114,promise,114
115,anyway,115
116,till,116
117,lived,117
118,true,118
119,born,119
120,from,120
121,understanding,121
122,stars,122
123,fades,123
124,mine,124
125,has,125
126,remembering,126
127,hurts,127
128,too,128
129,much,129
130,and,130
131,shall,131
132,be,132
133,solitary,133
134,lift,134
135,for,135
136,heals,136
137,scars,137
138,left,138
139,serve,139
140,masters,140
141,let,141
142,hell,142
143,our,143
144,heaven,144
145,learned,145
146,people,146
147,die,147
148,endures,148
149,so,149
150,deeply,150
151,interconnected,151
152,do,152
153,not,153
154,touch,154
155,maybe,155
156,okay,156
157,everything,157
158,can,158
159,imagine,159
160,am,160
161,afraid,161
162,death,162
163,reality,163
164,ruin,164
165,understood,165
166,backwards,166
167,some,167
168,have,168
169,lives,169
170,dead,170
171,point,171
172,tears,172
173,even,173
174,anxiety,174
175,dizziness,175
176,freedom,176
177,ordinary,177
178,pretty,178
179,complex,179
180,stuff,180
181,easy,181
182,with,182
183,eyes,183
184,closed,184
185,tomorrow,185
186,another,186
187,day,187
188,peaceful,188
189,harder,189
190,but,190
191,once,191
192,little,192
193,perceive,193
194,suffer,194
195,see,195
196,it,196
197,perfectly,197
198,travel,198
199,hardships,199
200,make,200
201,or,201
202,break,202
203,gratitude,203
204,builds,204
205,bridge,205
206,abundance,206
207,things,207
208,taught,208
209,no,209
210,here,210
211,gets,211
212,out,212
213,happy,213
214,satisfied,214
215,single,215
216,tragedy,216
